name,id,carving width time,carving width,best Ct (2 trials),total time (2 trials)
L7_lognormal_9,0,0.847925492,32.2437142,3.31819E+14,3.192536673
L7_lognormal_8,1,0.413570721,33.45724898,6.67061E+14,1.66995654
L7_lognormal_10,2,0.376856475,38.2938219,5.26E+16,1.429561649
L7_lognormal_24,3,0.35604879,36.13842821,2.07269E+15,1.453513524
L7_lognormal_7,4,0.36573215,38.56793757,1.57792E+15,1.179001577
L7_lognormal_20,5,0.362600448,35.60187074,3.73741E+15,1.336955079
L7_lognormal_14,6,0.333193334,33.45485453,1.91046E+14,1.224510509
L7_lognormal_3,7,0.339432752,34.6638572,2.33925E+14,1.202581673
L7_lognormal_21,8,0.238049907,31.405578,3.9595E+13,1.129432249
L7_lognormal_15,9,0.367041732,37.92514796,6.37E+16,1.269030162
L7_lognormal_2,10,0.346864961,35.95399038,2.29236E+15,1.139429634
L7_lognormal_11,11,0.2654692,31.892533,1.89138E+14,1.322319218
L7_lognormal_25,12,0.362435587,34.89928736,1.52693E+15,1.358094817
L7_lognormal_6,13,0.338963646,32.09055408,2.25357E+14,1.16652598
L7_lognormal_22,14,0.264898349,31.00928939,6.08047E+13,1.143924721
L7_lognormal_16,15,0.412812192,33.14972529,3.90512E+14,1.321171062
L7_lognormal_1,16,0.275960302,29.88226499,1.7958E+13,1.243184069
L7_lognormal_12,17,0.36527132,28.44405329,7.37386E+12,1.360386099
L7_lognormal_26,18,0.252312724,28.87376459,2.46503E+12,1.287168873
L7_lognormal_5,19,0.265854798,31.26857312,5.67146E+13,1.153209505
L7_lognormal_13,20,0.407715509,37.32278378,2.64685E+15,1.19842943
L7_lognormal_27,21,0.296499652,32.81208073,3.06688E+14,1.214678447
L7_lognormal_4,22,0.341256899,36.33588322,6.15446E+15,1.157722987
L7_lognormal_23,23,0.337964394,32.15112434,1.87749E+14,1.399347237
L7_lognormal_17,24,0.437637183,38.41887262,7.32917E+15,1.251246293
L7_lognormal_0,25,0.333260541,35.5924929,3.52711E+15,1.269926244
L7_lognormal_28,26,0.326176862,32.4734815,1.90141E+14,1.127081651
L7_lognormal_18,27,0.349058155,33.83911368,2.50131E+15,1.097452796
L7_lognormal_19,28,0.317489627,28.53526872,4.34229E+12,1.173036515
L7_lognormal_29,29,0.235140271,31.0261756,2.42841E+13,1.076566184
