L7_lognormal_9,L7_lognormal_8,L7_lognormal_10,L7_lognormal_24,L7_lognormal_7,L7_lognormal_20,L7_lognormal_14,L7_lognormal_3,L7_lognormal_21,L7_lognormal_15,L7_lognormal_2,L7_lognormal_11,L7_lognormal_25,L7_lognormal_6,L7_lognormal_22,L7_lognormal_16,L7_lognormal_1,L7_lognormal_12,L7_lognormal_26,L7_lognormal_5,L7_lognormal_13,L7_lognormal_27,L7_lognormal_4,L7_lognormal_23,L7_lognormal_17,L7_lognormal_0,L7_lognormal_28,L7_lognormal_18,L7_lognormal_19,L7_lognormal_29
546344838063364.0,312602969487119.0,9.423177668461666e+16,5252568541965464.0,1.9053348031038765e+17,3445124735604696.0,539317419836765.0,400520323230840.0,50089927930109.0,1.1121425325275544e+17,1.3681913355220038e+16,424263229408934.0,1925433545822865.0,217071800297638.0,127619525457153.0,114906542892405.0,26602154578747.0,7761149434649.0,6764173271378.0,90350488385400.0,5884131517201722.0,299212392531166.0,1.2109570266983076e+16,208347204807344.0,335993359361080.0,5478448289841019.0,232399120781378.0,3540803261132447.0,6004783898855.0,26590054063688.0
331819223147061.0,308947041954155.0,9.423177668461666e+16,5252568541965464.0,4.409684731603563e+16,2220497496732750.0,98677169690614.0,400520323230840.0,32382297223360.0,4.131048642214869e+16,1.1025735441655576e+16,424263229408934.0,1195667506958327.0,216036194574223.0,127619525457153.0,114906542892405.0,21079828789195.0,7761149434649.0,6764173271378.0,58651944950784.0,5884131517201722.0,299212392531166.0,1.2109570266983076e+16,208347204807344.0,335993359361080.0,5478448289841019.0,232399120781378.0,2716104094391474.0,4953170030092.0,26590054063688.0
331819223147061.0,308947041954155.0,9.423177668461666e+16,2263643934193430.0,3366153447524538.0,2220497496732750.0,98677169690614.0,400520323230840.0,32382297223360.0,4.131048642214869e+16,1.1025735441655576e+16,229113644986576.0,1195667506958327.0,212129931654335.0,96776432548749.0,114906542892405.0,21079828789195.0,7761149434649.0,6764173271378.0,30119625203412.0,5884131517201722.0,290694711783804.0,3470309984490282.0,208347204807344.0,335993359361080.0,5478448289841019.0,104940588858193.0,2305363853409160.0,4900605200036.0,24168385699094.0
331819223147061.0,308947041954155.0,9.423177668461666e+16,2263643934193430.0,3366153447524538.0,2220497496732750.0,98677169690614.0,400520323230840.0,32382297223360.0,4.131048642214869e+16,1.1025735441655576e+16,187694991461630.0,1195667506958327.0,127781597585539.0,81141587002734.0,114906542892405.0,21079828789195.0,7761149434649.0,5648678831020.0,30119625203412.0,5884131517201722.0,290694711783804.0,3470309984490282.0,208347204807344.0,335993359361080.0,3591583133138284.0,104940588858193.0,2305363853409160.0,4810794423576.0,24168385699094.0
331819223147061.0,308947041954155.0,9.423177668461666e+16,2263643934193430.0,3366153447524538.0,2220497496732750.0,98677169690614.0,400520323230840.0,32382297223360.0,4.131048642214869e+16,4252842148618244.0,167189339217342.0,1195667506958327.0,118659666772482.0,77111128985908.0,114906542892405.0,21079828789195.0,7761149434649.0,4035695730572.0,30119625203412.0,5884131517201722.0,290694711783804.0,3470309984490282.0,154594624690286.0,335993359361080.0,3591583133138284.0,104940588858193.0,2185060498279337.0,4810794423576.0,24168385699094.0
331819223147061.0,308947041954155.0,9.423177668461666e+16,2263643934193430.0,3366153447524538.0,2220497496732750.0,98677169690614.0,325298958759513.0,32382297223360.0,4.131048642214869e+16,2723459851372200.0,167189339217342.0,1195667506958327.0,87042453667614.0,67868120131233.0,114906542892405.0,21079828789195.0,7761149434649.0,4018126473552.0,30119625203412.0,5884131517201722.0,271430501734533.0,3470309984490282.0,154594624690286.0,335993359361080.0,3591583133138284.0,104940588858193.0,2185060498279337.0,4393497558417.0,21820859942895.0
331819223147061.0,308947041954155.0,9.423177668461666e+16,2207457891488900.0,3366153447524538.0,2220497496732750.0,98677169690614.0,325298958759513.0,32382297223360.0,4.131048642214869e+16,2723459851372200.0,166685738227024.0,1195667506958327.0,58763160734953.0,67868120131233.0,114906542892405.0,21079828789195.0,7761149434649.0,4018126473552.0,30119625203412.0,5884131517201722.0,252057495423740.0,3470309984490282.0,154594624690286.0,335993359361080.0,2428890686384958.0,104940588858193.0,2185060498279337.0,4393497558417.0,21820859942895.0
331819223147061.0,308947041954155.0,9.423177668461666e+16,804236856968410.0,3366153447524538.0,2220497496732750.0,65102518000897.0,325298958759513.0,32382297223360.0,4.131048642214869e+16,2723459851372200.0,128816949364332.0,1195667506958327.0,58763160734953.0,67868120131233.0,114906542892405.0,21079828789195.0,7761149434649.0,2609024488978.0,30119625203412.0,5884131517201722.0,252057495423740.0,3470309984490282.0,154594624690286.0,335993359361080.0,2201248652318952.0,104940588858193.0,2185060498279337.0,4393497558417.0,17815390247103.0
331819223147061.0,308947041954155.0,8.330721933795493e+16,804236856968410.0,3366153447524538.0,2220497496732750.0,65102518000897.0,325298958759513.0,14782848701149.0,4.131048642214869e+16,2723459851372200.0,128816949364332.0,1195667506958327.0,58763160734953.0,67868120131233.0,97846784291643.0,21079828789195.0,7761149434649.0,2609024488978.0,30119625203412.0,5884131517201722.0,252057495423740.0,3470309984490282.0,154594624690286.0,335993359361080.0,2201248652318952.0,104940588858193.0,2185060498279337.0,3643802687087.0,17815390247103.0
331819223147061.0,288483322283491.0,8.330721933795493e+16,804236856968410.0,3366153447524538.0,2220497496732750.0,65102518000897.0,325298958759513.0,14782848701149.0,4.131048642214869e+16,2723459851372200.0,128816949364332.0,1195667506958327.0,58763160734953.0,67868120131233.0,97846784291643.0,21079828789195.0,7251753330843.0,2609024488978.0,30119625203412.0,3936183791376140.0,252057495423740.0,3470309984490282.0,154594624690286.0,335993359361080.0,2201248652318952.0,104940588858193.0,2185060498279337.0,3643802687087.0,16417302161495.0
