L7_lognormal_9,L7_lognormal_8,L7_lognormal_10,L7_lognormal_24,L7_lognormal_7,L7_lognormal_20,L7_lognormal_14,L7_lognormal_3,L7_lognormal_21,L7_lognormal_15,L7_lognormal_2,L7_lognormal_11,L7_lognormal_25,L7_lognormal_6,L7_lognormal_22,L7_lognormal_16,L7_lognormal_1,L7_lognormal_12,L7_lognormal_26,L7_lognormal_5,L7_lognormal_13,L7_lognormal_27,L7_lognormal_4,L7_lognormal_23,L7_lognormal_17,L7_lognormal_0,L7_lognormal_28,L7_lognormal_18,L7_lognormal_19,L7_lognormal_29
2.1968488849815913,0.7835976039641537,0.7725524999550544,0.666357375041116,0.7113460719701834,0.7821257889736444,0.6995542549993843,0.6140996689791791,0.6122728729969822,0.7369687400059775,0.6887828840408474,0.6085414109984413,0.7416033279732801,0.6968088219873607,0.5949112519738264,0.6597576180356555,0.5893692069803365,0.6357301270472817,0.6280836689984426,0.67499416397186,0.67896439001197,0.7557176129776053,0.6943403530167416,0.7272485400317237,0.6793407879886217,0.7712179719819687,0.702180385007523,0.6735630119801499,0.6849750389810652,0.6310517580132
3.1609846159699373,1.1927912359824404,1.1637921029468998,1.0733354940311983,1.0682041100226343,1.2319815719965845,1.0438688219874166,1.0116964409826323,0.981998567993287,1.1407920380006544,1.0606324940454215,0.9397531400318258,1.1078902530134656,1.0686821920098737,0.9641673850128427,1.0635364269837737,0.978282751981169,1.0105442230124027,1.010643728019204,1.0881688100052997,1.0666862209909596,1.1438352809636854,1.083847890025936,1.088573619024828,0.9620359030086547,1.203579028020613,1.050482238002587,0.9958458690089174,1.093988754961174,0.9562419870053418
3.824339543993119,1.593715822964441,1.576874398975633,1.4287705630413257,1.4050150460097939,1.6802342400187626,1.4597736209980212,1.3584527249913663,1.3496879850281402,1.4738288070075214,1.4291709380340762,1.3119030570378527,1.5225519739906304,1.4941655760048889,1.3267434900044464,1.3707712580217049,1.2879412430338562,1.3415954150259495,1.3822735869907774,1.4384832590003498,1.399366082972847,1.4817629579920322,1.454582615988329,1.4523566950228997,1.2954072899883613,1.5508603189955465,1.3845734130009077,1.4236575359827839,1.4791873170179315,1.3293752429890446
4.417554541956633,2.0663796959561296,1.9236003699479625,1.7672283580177464,1.740398573980201,2.1108479339745827,1.821501080004964,1.705801545002032,1.7003236720338464,1.8815298579866067,1.7578257140121423,1.7276994500425644,1.8929800000041723,1.852251422998961,1.6966593589750119,1.7404669760144316,1.7118405000073835,1.7451353300129995,1.7135964999906719,1.8396741959732026,1.7525718759861775,1.909719890973065,1.769972265989054,1.886846893990878,1.6746211129939184,1.9422355139977299,1.7528132360312156,1.775953982025385,2.0063492250046693,1.6396725400118157
4.946607494959608,2.490090204984881,2.2715069569530897,2.1600265440065414,2.0426336840027943,2.580251180974301,2.1826128700049594,2.0959735159995034,2.163341765990481,2.3081963779986836,2.0894306860282086,2.1531737290206365,2.3376126079820096,2.235365633969195,2.0583384389756247,2.162808841036167,2.1151183749898337,2.156433302036021,2.10931436001556,2.23453196400078,2.0865814369753934,2.3632236929843202,2.13829379202798,2.3153215250349604,2.0631235080072656,2.340505371976178,2.1123935480136424,2.120296528970357,2.484379031986464,2.010677649988793
5.5215973510057665,2.895311761996709,2.6776144219911657,2.5192095130332746,2.37532160198316,3.0395971129764803,2.4935493399971165,2.436796466994565,2.535103194997646,2.689389889012091,2.4337641880265437,2.481968788022641,2.6987767569953576,2.6445746169774793,2.427522779966239,2.488266145985108,2.512757911987137,2.520794971031137,2.45048650103854,2.587243690970354,2.4468208239995874,2.7708378239767626,2.5195935129886493,2.7500674740294926,2.3805028659990057,2.68732775101671,2.4732602790463716,2.4905333620263264,2.8747352299978957,2.3864637300139293
6.07017563295085,3.273473473964259,2.998658026976045,2.853384428017307,2.7053239030065015,3.478711896983441,2.8559151390218176,2.738919449970126,2.9156951710465364,3.0433813300332986,2.7654565920238383,2.83842755202204,3.1318990970030427,3.010604990995489,2.7991481680073775,2.8355780899873935,2.913195657019969,2.9872081120265648,2.7805595010286197,3.0205887699848972,2.7488023070036434,3.1829751109471545,2.8345604420173913,3.1651046390179545,2.7358698080061004,3.0792405860265717,2.8169133530464023,2.905554960016161,3.231556559971068,2.725013557006605
6.605047046963591,3.70757957798196,3.3807040139799938,3.2560958240064792,3.015351312002167,3.9261457349639386,3.150740446988493,3.1035671919817105,3.3318940700264648,3.43315201200312,3.1210677550407127,3.193010749993846,3.494181677000597,3.3519168429775164,3.2384767989860848,3.17147515603574,3.3053328660316765,3.388337854994461,3.20306037098635,3.433095336018596,3.0985572219942696,3.551226526964456,3.200840962002985,3.5434295720187947,3.0974320769892074,3.4753782129846513,3.177599512040615,3.3002367800218053,3.6400889480137266,3.1045260170358233
7.15720928896917,4.086624180956278,3.7206640299991705,3.600057921023108,3.352236251987051,4.328168258012738,3.508043256995734,3.455655156983994,3.7101367299910635,3.811740960984025,3.463226202002261,3.583659294003155,3.8864604689879343,3.7163472619722597,3.568047014006879,3.4916833009920083,3.709292935032863,3.7806196710444055,3.5995661609922536,3.7841073739691637,3.487719553988427,3.992323641956318,3.6192272779881023,3.951069528993685,3.384220573992934,3.792504256009124,3.5516541310353205,3.670588109991513,3.9942614909959957,3.4937527109868824
7.601410740986466,4.489653265976813,4.066096579947043,3.9542746570077725,3.7075586930150166,4.823259124998003,3.85171034099767,3.771331664000172,4.060727461008355,4.11920762702357,3.7997219910030253,3.9811806970392354,4.295087524980772,4.16322962398408,3.9318362940102816,3.8565892960177734,4.113759353000205,4.119422468997072,3.992886791995261,4.215223653009161,3.8329987549805082,4.412658222950995,4.028074198984541,4.39041079999879,3.7127989389700815,4.202555302006658,3.8874906960409135,4.1127848220057786,4.412295277987141,3.794672683987301
